algorithm,trial,function,population,crossover_probability,mutation_probability,best_solution,value,recombination,c1,c2,w,time
differential_evolution,,sphere,10,,0.01,[ 3.97430175e-09 -2.15950146e-09],2.0458520959585562e-17,0.6,,,,0.03474140167236328
differential_evolution,,rosenbrock,10,,0.01,[0.99999954 0.99999908],2.1890017878285366e-13,0.6,,,,0.03508472442626953
differential_evolution,,step,10,,0.01,[-5.0807952  -4.85905872 -5.04700003 -4.5489111  -4.13946209],-22.0,0.6,,,,0.046820878982543945
differential_evolution,,foxholes,10,,0.01,[-16.06216486  -0.06244176],11.718699671901618,0.6,,,,0.03250694274902344
differential_evolution,,schwefel,10,,0.01,"[ 420.96880452 -302.52490299  420.96882936  420.9688079   420.96873248
  420.96884257  420.96884434  203.81422218 -124.82950465  420.96875178]",631.6848450464595,0.6,,,,0.07651734352111816
differential_evolution,,rastrigin,10,,0.01,"[-2.98485569e+00 -1.98991225e+00  9.94958628e-01 -9.94958612e-01
 -2.31661360e-08  1.98991223e+00 -9.94958606e-01 -9.94958635e-01
 -2.98485570e+00  1.98991221e+00  9.94958659e-01 -1.00616223e-08
  9.94958588e-01 -9.94958666e-01 -1.67022347e-08 -1.98991223e+00
  9.94958618e-01  1.98991223e+00  9.94958624e-01 -9.94958655e-01]",47.757949006679056,0.6,,,,0.1856377124786377
differential_evolution,,griewangk,10,,0.01,"[ -47.09978494   17.753368     -5.43305028   50.16286842  -42.04138463
   -7.67177045 -140.80328388  -44.24791719    9.38151625  -19.76795948]",7.315146200090609,0.6,,,,0.11147236824035645
differential_evolution,,sphere,10,,0.01,[ 3.70090199e-09 -3.15538566e-09],2.3653134210903832e-17,0.7,,,,0.029169321060180664
differential_evolution,,rosenbrock,10,,0.01,[0.99999708 0.99999415],8.540340288823155e-12,0.7,,,,0.027124404907226562
differential_evolution,,step,10,,0.01,[-5.08355121 -4.85899228 -3.45326115 -4.54842323 -4.17001675],-20.0,0.7,,,,0.0367586612701416
differential_evolution,,foxholes,10,,0.01,[0.06862057 0.06377647],12.67050596107188,0.7,,,,0.0332789421081543
differential_evolution,,schwefel,10,,0.01,"[-302.52484946 -302.52499563  420.96861654  420.96872338 -302.52508349
  420.96863591  420.96872447  420.96869828 -124.82931351   65.54790181]",1006.76975020704,0.7,,,,0.09596681594848633
differential_evolution,,rastrigin,10,,0.01,"[-2.98485519e+00 -1.98991228e+00  9.94958628e-01 -9.94958588e-01
  1.60738396e-07  1.98991227e+00  9.94958528e-01  9.94958685e-01
 -2.98485571e+00  1.98991231e+00  9.94958592e-01 -4.21997043e-08
  9.94958676e-01  9.94958644e-01 -5.12907667e-09  9.94958667e-01
  9.94958648e-01  1.98991225e+00  9.94958686e-01  1.98991216e+00]",47.75794900674205,0.7,,,,0.17806029319763184
differential_evolution,,griewangk,10,,0.01,"[ 1.44561434e-05  4.43841633e+00  5.43322842e+00  2.14300224e-05
  5.33552710e-06  1.15412135e-05  1.65657757e+01 -1.67443434e-05
 -7.05462682e-06 -3.25880198e-05]",0.08116724479131376,0.7,,,,0.12070322036743164
differential_evolution,,sphere,10,,0.01,[ 3.17101319e-09 -4.07595744e-09],2.6668753717241047e-17,0.8,,,,0.027026891708374023
differential_evolution,,rosenbrock,10,,0.01,[0.99999741 0.99999481],6.715058195178176e-12,0.8,,,,0.033143043518066406
differential_evolution,,step,10,,0.01,[-5.08074368 -2.58693339 -3.46582409 -4.508041   -4.1642378 ],-18.0,0.8,,,,0.03189659118652344
differential_evolution,,foxholes,10,,0.01,[0.07100466 0.06060014],12.670505966857958,0.8,,,,0.03156113624572754
differential_evolution,,schwefel,10,,0.01,"[-302.52488538 -302.52495006  420.96877962  420.96866607  420.96863039
  420.96868543  420.96875561  420.96877341 -124.829468     65.54794483]",888.3314155899511,0.8,,,,0.06917929649353027
differential_evolution,,rastrigin,10,,0.01,"[-2.98485570e+00 -1.98991224e+00  9.94958627e-01 -9.94958620e-01
 -2.36930285e-08  1.98991223e+00 -9.94958631e-01 -9.94958647e-01
 -1.19453132e-08  1.98991221e+00  9.94958630e-01  2.37355260e-09
 -9.18031478e-09  1.98991219e+00 -4.41575081e-10 -1.68922084e-08
  9.94958628e-01  1.98991222e+00  9.94958625e-01  3.97978385e+00]",51.73771438637293,0.8,,,,0.15858697891235352
differential_evolution,,griewangk,10,,0.01,"[ 9.42007022e+00 -1.23272550e-05 -2.50500571e-06 -1.25412718e+01
 -7.00726441e+00  7.67224555e+00  8.28288127e+00  2.65509775e+01
  4.30817836e-06 -9.88512290e+00]",0.3073690391025642,0.8,,,,0.08484506607055664
differential_evolution,,sphere,10,,0.01,[ 3.17101319e-09 -4.07595744e-09],2.6668753717241047e-17,0.9,,,,0.02870488166809082
differential_evolution,,rosenbrock,10,,0.01,[0.99999782 0.99999561],4.9138563243735655e-12,0.9,,,,0.03053760528564453
differential_evolution,,step,10,,0.01,[-4.88780309 -2.58694395 -3.46525889 -4.50844736 -4.04449497],-17.0,0.9,,,,0.0299835205078125
differential_evolution,,foxholes,10,,0.01,[0.07100466 0.06060014],12.670505966857958,0.9,,,,0.02934098243713379
differential_evolution,,schwefel,10,,0.01,"[-302.52508919 -302.524912    420.96865261  420.96883938  420.96889988
  420.96868077  420.96885484  203.81430392 -124.82926717   65.54783925]",1105.47108498622,0.9,,,,0.0576939582824707
differential_evolution,,rastrigin,10,,0.01,"[-2.98485570e+00 -1.98991222e+00  9.94958619e-01 -9.94958667e-01
 -1.37905894e-08  1.98991222e+00 -9.94958649e-01  1.17504259e-07
  4.97469138e+00  1.98991223e+00  9.94958643e-01  2.38700988e-08
  9.94958608e-01 -3.25844162e-08  2.76707898e-08  9.94958615e-01
 -1.98991222e+00  1.98991221e+00  9.94958615e-01  1.98991224e+00]",64.67202471901098,0.9,,,,0.11050200462341309
differential_evolution,,griewangk,10,,0.01,"[-2.82602033e+01  4.43845481e+00 -5.43325205e+00 -6.27062376e+00
 -1.00160670e-05 -7.67233499e+00  8.28283816e+00  1.41176700e-05
  9.88963170e-06 -1.28097100e-05]",0.25390217342663757,0.9,,,,0.05508589744567871
differential_evolution,,sphere,10,,0.02,[-4.99999826e-09 -4.99999805e-09],4.999996314392172e-17,0.6,,,,0.03727293014526367
differential_evolution,,rosenbrock,10,,0.02,[0.999997 0.999994],8.97978647424407e-12,0.6,,,,0.029994964599609375
differential_evolution,,step,10,,0.02,[-5.02497927 -4.82629835 -5.03091132 -4.70042505 -5.02051618],-23.0,0.6,,,,0.04913020133972168
differential_evolution,,foxholes,10,,0.02,[-0.05864955 -0.06129181],12.670505889678202,0.6,,,,0.03206920623779297
differential_evolution,,schwefel,10,,0.02,"[-302.52497535 -302.52481559  420.96884613  420.96890511  420.96882355
  420.96873317  420.96863121  420.96875202 -124.82944347  420.96891235]",532.9835102764218,0.6,,,,0.11032772064208984
differential_evolution,,rastrigin,10,,0.02,"[ 1.98991223e+00 -1.98991224e+00  9.94958634e-01 -9.94958641e-01
 -3.55395462e-09  1.98991223e+00 -9.94958641e-01 -9.94958642e-01
 -4.65474435e-09  1.98991223e+00  9.94958634e-01 -2.67633519e-09
  2.98485570e+00 -9.94958642e-01 -3.54235206e-09 -4.47439155e-09
  9.94958633e-01  9.94958634e-01  9.94958633e-01 -9.94958643e-01]",34.82351657463634,0.6,,,,0.2042074203491211
differential_evolution,,griewangk,10,,0.02,"[ 7.74391555e-07 -4.43844182e+00 -5.43325230e+00  9.20770740e-07
  4.94463740e-06  5.43668154e-06  1.65657540e+01  4.91764614e-06
  2.02018416e-05 -6.44873841e-06]",0.08116724432945932,0.6,,,,0.11440420150756836
differential_evolution,,sphere,10,,0.02,[-5.00000052e-09 -4.99998853e-09],4.999989056118004e-17,0.7,,,,0.03752446174621582
differential_evolution,,rosenbrock,10,,0.02,[0.99999706 0.99999411],8.656618061194901e-12,0.7,,,,0.03198862075805664
differential_evolution,,step,10,,0.02,[-5.08741825 -4.86019991 -3.4363226  -4.53270403 -4.2344714 ],-20.0,0.7,,,,0.04019737243652344
differential_evolution,,foxholes,10,,0.02,[0.06075843 0.03733425],12.670505854604615,0.7,,,,0.03525996208190918
differential_evolution,,schwefel,10,,0.02,"[-302.52469614 -302.5246851   420.9687559   420.96895792 -302.52476977
 -124.82921965  420.96887521  203.8143013  -302.52502143   65.54787802]",1342.3477542335004,0.7,,,,0.08334946632385254
