algorithm,trial,function,population,crossover_probability,mutation_probability,best_solution,value,recombination,c1,c2,w,time
genetic,,sphere,10,0.6,0.01,"[0.14687860531934505, 0.003363633272886142]",0.0215846387293504,,,,,0.01647663116455078
genetic,,rosenbrock,10,0.6,0.01,"[-0.500682121926035, 0.24895328175163733]",2.2523458808074572,,,,,0.018947839736938477
genetic,,step,10,0.6,0.01,"[-2.000258870979237, -4.05690598823821, -3.0708696083347258, -5.044164706330294, -2.8876972928168083]",-16.0,,,,,0.06669330596923828
genetic,,quartic,10,0.6,0.01,"[-0.5377972133995941, 0.3177684221640198, 1.018686631782789, 0.46894698690403497, -0.973753873101435, -0.42798371132474355, 0.5830454480801868, 0.743295140722146, -0.25432494494637653, -0.9231863056796332, -0.37347746055586106, -0.5584984236536281, 0.20459585391568103, -0.0034953187307808532, -0.20387177944982676, 0.2796599201855937, -0.10185029467054109, 0.6407606042558758, 0.27699759551330255, 0.07868009679235904, -0.5268215722915164, -0.3459152032015419, -0.36699671409562584, 0.25445215020597367, -0.47382450412373145, -0.11449677395085442, 0.03224729808096384, -0.06473451024572471, -0.033849120629372176, 0.01604516598219309]",14.853471316735883,,,,,0.0371248722076416
genetic,,foxholes,10,0.6,0.01,"[34.806653553383974, -34.39588598902729]",288.6582363442962,,,,,0.022655487060546875
genetic,,schwefel,10,0.6,0.01,"[264.1804919774095, -111.63959034381986, -509.58163532205674, 409.89621262193657, 448.2430423021887, 52.94052608365381, 57.95464384180607, -463.97984850299576, -322.74852190733645, -264.198666946818]",2928.4849706977043,,,,,0.021228551864624023
genetic,,rastrigin,10,0.6,0.01,"[-0.9936198370886165, -2.972551783606955, 3.1689862694864592, 0.9413017415505904, -2.133147788256143, 3.923182248567189, -0.9075508938578525, 2.8167443433744523, -3.6011421234993164, -1.8782451884643263, -4.221024071136382, -1.06155117506492, 0.7059476557158466, 1.8437125466980624, -0.14144233117281263, 1.7089748540535996, -0.14441935301013525, -1.1673701287152336, -0.047116646283901054, 1.9040996845944913]",188.96981135001903,,,,,0.030258893966674805
genetic,,griewangk,10,0.6,0.01,"[-38.32919132475467, -104.4983470948833, -75.18399007970675, -2.0503949062263698, 13.66281253334242, 82.03061517455043, 254.35504348731817, -113.27970572305222, 249.2422399822193, -108.4223987557029]",45.09147623570139,,,,,0.02624058723449707
genetic,,sphere,10,0.6,0.02,"[0.17090562250340519, 0.009986175349929911]",0.029308455501395984,,,,,0.015834331512451172
genetic,,rosenbrock,10,0.6,0.02,"[-0.49558869481454004, 0.2489532817516376]",2.2379045317382076,,,,,0.018853187561035156
genetic,,step,10,0.6,0.02,"[-2.0820265325161325, -4.023179675204087, -3.0708696083347253, -5.083612514206908, -2.7903531381615805]",-16.0,,,,,0.1477978229522705
genetic,,quartic,10,0.6,0.02,"[-0.640476478626139, 0.31053583029904674, 1.0485178075357824, 0.056969584590360424, -0.8725698691427322, -0.5423239562444955, 0.7815453799719405, 0.74197920493922, -0.25823659741254207, -0.9036545804892895, -0.3386092002679261, -0.4575698448489995, 0.2024717211761684, 0.0565818027668287, -0.19159101145880886, 0.3400430882454745, 0.22280888897224566, 0.683953736200847, 0.37256500849300406, -0.06486331827775217, -0.5214053310426503, -0.3459055642615958, -0.44972000388905464, 0.2660453842176968, -0.45613005777315324, 0.007399802192763418, 0.03249406309355572, -0.16464342772450913, -0.12368198095457333, 0.07169858063652222]",15.17598801972474,,,,,0.036741018295288086
genetic,,foxholes,10,0.6,0.02,"[34.83068057056797, -34.40672325240253]",294.02810637636003,,,,,0.02223062515258789
