algorithm,trial,function,population,crossover_probability,mutation_probability,best_solution,value,recombination,c1,c2,w,time
particle_swarm_optimization,,sphere,10,,,[6.11949921e-05 3.60738055e-04],1.3387677108937933e-07,,0.3,0.3,0.3,0.15369343757629395
particle_swarm_optimization,,rosenbrock,10,,,[0.63376555 0.40203159],0.13414156903747845,,0.3,0.3,0.3,0.15447258949279785
particle_swarm_optimization,,step,10,,,[-3.59204254 -1.0338889   0.97175435 -4.17123741 -4.06158696],-12.0,,0.3,0.3,0.3,0.16215205192565918
particle_swarm_optimization,,quartic,10,,,"[ 0.26591393  0.26283641 -0.21441612  0.20438071  0.14021954 -0.15998997
  0.20693849 -0.18046614 -0.11786869 -0.18703351  0.78128703  0.22333679
  0.17469905  0.37372085  0.2928674  -0.28962795  0.31871786  0.32508593
  0.30035101  0.32561951 -0.30082075  0.120313    0.37782567  0.15169392
  0.00707629 -0.27121979  0.12338186 -0.35168534  0.28941061  0.47015357]",-11.15343227032873,,0.3,0.3,0.3,0.5351786613464355
particle_swarm_optimization,,foxholes,10,,,[ -0.75290277 -14.81084793],10.772540279903,,0.3,0.3,0.3,0.3739314079284668
particle_swarm_optimization,,schwefel,10,,,"[-126.21089169 -487.33675168  422.20070065  373.50628892 -147.87207981
  130.1555124  -141.8373905  -287.11784524 -276.65562041  -80.41092488]",2953.387105698557,,0.3,0.3,0.3,0.2217884063720703
particle_swarm_optimization,,rastrigin,10,,,"[ 0.12071584  0.02053133  0.70955434  0.47025246  0.85149746  0.02298188
 -0.96096868 -0.91020085  0.15491325 -0.06908128  0.13575569  1.8721511
  2.92752965 -0.96037497  1.35093061 -1.0758401  -1.14275821  0.48879033
  0.92584246 -0.2421142 ]",127.32240209152627,,0.3,0.3,0.3,0.37336063385009766
particle_swarm_optimization,,griewangk,10,,,"[-140.73447976   20.26375075   26.51332324   -2.424651    130.27608869
   74.24065424   17.40180732   72.01087309  155.78664181   64.45182734]",20.330281976937094,,0.3,0.3,0.3,0.23843026161193848
particle_swarm_optimization,,sphere,10,,,[-0.00194535  0.00517221],3.053610172667543e-05,,0.3,0.3,0.4,0.15028929710388184
particle_swarm_optimization,,rosenbrock,10,,,[0.77697018 0.60261115],0.049857114405355854,,0.3,0.3,0.4,0.15723657608032227
particle_swarm_optimization,,step,10,,,[-3.5512066  -2.01349956  1.62711627 -4.32313879 -4.02622234],-12.0,,0.3,0.3,0.4,0.16221857070922852
